step,delta_from_baseline_pct,Vh,lambda_dutch_roll_+_real_s-1,lambda_dutch_roll_+_imag_s-1,lambda_dutch_roll_−_real_s-1,lambda_dutch_roll_−_imag_s-1,lambda_roll_real_s-1,lambda_roll_imag_s-1,lambda_spiral_real_s-1,lambda_spiral_imag_s-1
0,0.0,0.6559877955758963,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
1,5.0,0.6887871853546911,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
2,10.0,0.721586575133486,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
3,15.000000000000002,0.7543859649122807,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
4,20.0,0.7871853546910755,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
5,25.0,0.8199847444698704,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
6,30.000000000000004,0.8527841342486652,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
7,35.0,0.8855835240274601,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
8,40.0,0.9183829138062547,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
9,45.0,0.9511823035850496,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
10,50.0,0.9839816933638444,-0.48607036118107816,2.3331486113094555,-0.48607036118107816,-2.3331486113094555,-8.435807445728708,0.0,-0.009146854063484889,0.0
